epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.5511,1.66239,5.23122,1.52247,0.49185,0.15838,0.10121,0.06082,1.61211,6.52,1.44426,0.000473158,0.000473158,0.000473158
2,128.899,1.70038,4.63249,1.53446,0.36217,0.19212,0.02031,0.0094,1.9054,26.8654,1.62123,0.000949259,0.000949259,0.000949259
3,190.55,1.84639,4.75403,1.62926,0.7565,0.09913,0.08401,0.04168,2.01431,5.90303,1.71874,0.00142443,0.00142443,0.00142443
4,254.512,1.80647,4.62773,1.6057,0.44683,0.151,0.11456,0.06313,1.90668,4.71454,1.57115,0.00142586,0.00142586,0.00142586
5,317.765,1.76325,4.4935,1.59803,0.82053,0.11362,0.1104,0.06175,1.84475,4.51236,1.56409,0.00142342,0.00142342,0.00142342
6,380.812,1.76056,4.4512,1.57723,0.79062,0.12183,0.10623,0.05073,1.951,4.6086,1.60684,0.00142029,0.00142029,0.00142029
7,444.865,1.73161,4.35732,1.54021,0.49707,0.12898,0.11534,0.06018,1.88095,4.4412,1.58609,0.00141647,0.00141647,0.00141647
8,509.873,1.70487,4.26603,1.5272,0.54464,0.14231,0.12651,0.06741,1.83027,4.84626,1.51119,0.00141196,0.00141196,0.00141196
9,573.554,1.6411,4.09274,1.48938,0.17083,0.18113,0.13594,0.07197,1.80357,4.11433,1.51404,0.00140678,0.00140678,0.00140678
10,636.732,1.69166,4.23878,1.52608,0.53663,0.17707,0.14155,0.07198,1.94032,4.51514,1.58182,0.00140091,0.00140091,0.00140091
11,701.974,1.64069,4.0434,1.48992,0.20356,0.23099,0.15844,0.09309,1.75455,4.01899,1.50706,0.00139438,0.00139438,0.00139438
12,765.908,1.6448,4.1157,1.4831,0.30299,0.16558,0.15062,0.07785,1.82845,4.62085,1.52482,0.00138718,0.00138718,0.00138718
13,829.664,1.64578,4.03634,1.49146,0.48965,0.13565,0.12954,0.07041,1.79278,4.08514,1.51195,0.00137933,0.00137933,0.00137933
14,893.062,1.64254,4.03643,1.49069,0.84952,0.1229,0.14152,0.07693,1.77417,4.06948,1.48529,0.00137082,0.00137082,0.00137082
15,957.445,1.60186,3.86278,1.45518,0.8422,0.12639,0.13095,0.07387,1.73185,4.68356,1.46631,0.00136168,0.00136168,0.00136168
16,1021.11,1.61304,3.85437,1.45999,0.20422,0.24006,0.15498,0.07994,1.86755,4.23419,1.54862,0.0013519,0.0013519,0.0013519
17,1084.22,1.56998,3.85034,1.45017,0.83493,0.13681,0.1415,0.0716,1.82526,4.83069,1.49555,0.0013415,0.0013415,0.0013415
18,1147.12,1.57547,3.76967,1.43951,0.32086,0.24139,0.16544,0.08935,1.79146,3.93748,1.49809,0.0013305,0.0013305,0.0013305
19,1209.5,1.53046,3.6242,1.40353,0.18785,0.21551,0.14858,0.08542,1.71375,3.86674,1.45189,0.00131888,0.00131888,0.00131888
20,1272.64,1.55216,3.67233,1.40675,0.52493,0.18026,0.14531,0.07986,1.74747,4.00787,1.44802,0.00130668,0.00130668,0.00130668
21,1335.48,1.56411,3.70006,1.43077,0.55505,0.1953,0.16257,0.09243,1.72976,3.84636,1.47084,0.00129391,0.00129391,0.00129391
22,1400.61,1.55545,3.66835,1.42551,0.17764,0.22279,0.15701,0.08784,1.77746,4.35803,1.48869,0.00128057,0.00128057,0.00128057
23,1464.04,1.54297,3.65288,1.40959,0.191,0.22112,0.15436,0.08068,1.88277,3.84098,1.51656,0.00126667,0.00126667,0.00126667
24,1526.49,1.5647,3.70198,1.42792,0.2316,0.20637,0.17257,0.09263,1.80441,4.0449,1.46967,0.00125224,0.00125224,0.00125224
25,1590.09,1.50293,3.63151,1.39553,0.47106,0.2234,0.16844,0.0876,1.82369,3.95159,1.48632,0.00123728,0.00123728,0.00123728
