epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,1653.68,1.51994,3.56796,1.39117,0.16562,0.22979,0.16664,0.09425,1.71732,4.02318,1.44969,0.00122182,0.00122182,0.00122182
27,1717.35,1.51908,3.57377,1.4023,0.3562,0.23533,0.18309,0.10326,1.75195,3.85377,1.45929,0.00120586,0.00120586,0.00120586
28,1780.79,1.52555,3.44921,1.3878,0.28413,0.25534,0.18069,0.1032,1.70011,3.66225,1.43277,0.00118943,0.00118943,0.00118943
29,1844.7,1.49823,3.47811,1.38363,0.17544,0.2263,0.16429,0.09279,1.71414,3.71483,1.43204,0.00117253,0.00117253,0.00117253
30,1910.36,1.44294,3.33795,1.349,0.2535,0.25045,0.19546,0.11447,1.73291,3.73739,1.42913,0.00115519,0.00115519,0.00115519
31,1974.57,1.52778,3.5035,1.40396,0.23864,0.26021,0.1738,0.09612,1.79266,3.68496,1.48643,0.00113742,0.00113742,0.00113742
32,2039.43,1.46804,3.33143,1.37044,0.28451,0.25613,0.18823,0.11266,1.68899,3.59607,1.43574,0.00111924,0.00111924,0.00111924
33,2102.84,1.44155,3.30074,1.34886,0.22493,0.22228,0.16657,0.09245,1.69431,3.67696,1.43249,0.00110066,0.00110066,0.00110066
34,2164.5,1.45172,3.26192,1.3461,0.15435,0.2417,0.18113,0.10042,1.75914,3.72927,1.45559,0.00108172,0.00108172,0.00108172
35,2225.77,1.47668,3.28476,1.36997,0.19811,0.24909,0.17997,0.09319,1.83992,3.90728,1.50863,0.00106242,0.00106242,0.00106242
36,2286.82,1.45424,3.34208,1.35672,0.27583,0.24872,0.18658,0.10499,1.74704,3.89073,1.43458,0.00104278,0.00104278,0.00104278
37,2347.84,1.43867,3.1517,1.32846,0.38229,0.21363,0.19109,0.09651,1.85224,3.71528,1.50338,0.00102282,0.00102282,0.00102282
38,2408.66,1.45937,3.2789,1.35179,0.23786,0.22455,0.18934,0.10219,1.69715,3.58806,1.42478,0.00100257,0.00100257,0.00100257
39,2469.37,1.42564,3.15547,1.3294,0.24794,0.27953,0.19629,0.11166,1.65057,3.57784,1.40724,0.00098204,0.00098204,0.00098204
40,2530.54,1.46039,3.22823,1.36437,0.27322,0.27066,0.19505,0.10709,1.80887,3.76499,1.47636,0.000961253,0.000961253,0.000961253
41,2591.12,1.44947,3.17589,1.36785,0.26349,0.23677,0.17871,0.09954,1.69827,3.65286,1.42138,0.00094023,0.00094023,0.00094023
42,2652.27,1.38772,3.06087,1.31675,0.20462,0.21413,0.17534,0.09673,1.74981,3.67529,1.43986,0.000918991,0.000918991,0.000918991
43,2713.52,1.4393,3.12563,1.35011,0.24386,0.31051,0.20331,0.11192,1.71844,3.45044,1.43336,0.000897557,0.000897557,0.000897557
44,2774.74,1.4083,3.11534,1.33304,0.27266,0.2339,0.17013,0.09041,1.85429,3.66389,1.50704,0.00087595,0.00087595,0.00087595
45,2835.84,1.41913,2.96727,1.31858,0.2948,0.23098,0.18607,0.10377,1.72006,3.65424,1.44024,0.00085419,0.00085419,0.00085419
46,2896.63,1.42527,3.00616,1.33142,0.24393,0.2717,0.18464,0.10918,1.64715,3.58057,1.40025,0.0008323,0.0008323,0.0008323
47,2957.58,1.38876,2.8736,1.30426,0.26754,0.30309,0.20315,0.10866,1.73132,3.64306,1.41078,0.0008103,0.0008103,0.0008103
48,3018.57,1.37681,2.95364,1.31251,0.4129,0.20608,0.19269,0.10735,1.74783,3.60654,1.43834,0.000788213,0.000788213,0.000788213
49,3080.43,1.36801,2.91946,1.2988,0.24937,0.29852,0.20134,0.11129,1.69985,3.47742,1.43547,0.00076606,0.00076606,0.00076606
50,3141.72,1.3814,2.88069,1.30311,0.24361,0.26795,0.19247,0.10931,1.67555,3.64172,1.3966,0.000743864,0.000743864,0.000743864
51,3202.91,1.38724,2.93524,1.31021,0.27569,0.27002,0.20489,0.11411,1.70477,3.71262,1.41611,0.000721645,0.000721645,0.000721645
52,3264.27,1.34896,2.81371,1.28163,0.22535,0.24465,0.18054,0.09621,1.78203,3.79622,1.46032,0.000699426,0.000699426,0.000699426
53,3324.86,1.37196,2.77372,1.31941,0.21347,0.27369,0.18355,0.10338,1.71183,3.75485,1.42777,0.00067723,0.00067723,0.00067723
54,3386.5,1.37257,2.85169,1.3019,0.24497,0.32563,0.1989,0.11255,1.68084,3.50632,1.40099,0.000655077,0.000655077,0.000655077
55,3447.45,1.37157,2.76248,1.29174,0.26483,0.25806,0.18904,0.10787,1.69164,3.7062,1.41458,0.00063299,0.00063299,0.00063299
